Route_ID,Source_Station,Destination_Station,Distance,Duration
1,Leeside,North Cheryl,190 km,2 hours
2,Charlesfort,Port Samanthamouth,64 km,1 hours
3,Copelandfurt,South Jacob,59 km,1 hours
4,Jessicatown,Port Jenniferville,195 km,4 hours
5,New Nathan,Joshuachester,196 km,4 hours
6,Kristenfurt,Zacharyhaven,178 km,1 hours
7,Anaport,Campbellfort,90 km,3 hours
8,Williamsport,West Daniel,189 km,1 hours
9,Smithport,Lake Lisa,109 km,1 hours
10,West Jeffery,Averyburgh,126 km,3 hours
11,Lake Josephborough,Port Brendaville,98 km,4 hours
12,Costahaven,Lake Jason,133 km,2 hours
13,Kyleport,Dianaside,155 km,1 hours
14,Port Amberchester,Theresaside,156 km,3 hours
15,Jonesstad,New Edward,134 km,3 hours
16,North Hannah,West Kennethton,51 km,4 hours
17,Cindyview,Port Kenneth,174 km,1 hours
18,Lesterhaven,West Timothychester,87 km,4 hours
19,Jacksonmouth,Martinport,135 km,3 hours
20,East Jennifer,West Nathanielberg,157 km,4 hours
21,West Rachel,Mckinneyside,195 km,4 hours
22,Scottland,Thomaschester,137 km,4 hours
23,North Melissa,North Jamie,103 km,2 hours
24,Port Jessica,Thomasland,117 km,1 hours
25,Roweside,Anthonyfort,193 km,3 hours
26,East Amandashire,Parkerburgh,158 km,3 hours
27,Hernandezmouth,Campbellfort,71 km,3 hours
28,Lake Sandrafurt,East Jamesview,164 km,1 hours
29,West Melissaside,Wayneburgh,86 km,1 hours
30,Williamsborough,South Angelaborough,51 km,1 hours
31,Lake Daniel,West Angelica,91 km,2 hours
32,East Nicholas,Alexanderton,79 km,4 hours
33,Sarahbury,Lisaview,100 km,4 hours
34,North Jessica,Lake Jenniferville,158 km,2 hours
35,Kathrynport,Ramosport,127 km,2 hours
36,Nguyenburgh,Alexisfort,130 km,3 hours
37,Mcneilview,Ellisside,62 km,4 hours
38,Alexisland,Smithburgh,144 km,1 hours
39,Nicholasberg,North Hannah,79 km,1 hours
40,New Jesse,South Valerieshire,167 km,1 hours
41,Daughertymouth,West Thomasview,135 km,1 hours
42,Parkerburgh,Cookhaven,160 km,1 hours
43,South Shawn,Goodmantown,169 km,3 hours
44,Baileyland,New Kathy,63 km,3 hours
45,Jessicashire,Jonathanchester,179 km,1 hours
46,North Mariahborough,Port Brian,157 km,1 hours
47,Collierside,Wayneburgh,118 km,3 hours
48,South Karen,Lake Christopher,112 km,2 hours
49,Deniseville,South Leah,57 km,4 hours
50,East Thomasberg,South Dannystad,62 km,2 hours
51,North Margaretborough,Kevinton,154 km,1 hours
52,West Gregory,Justintown,147 km,3 hours
53,Melanieville,North Johnchester,75 km,3 hours
54,New Lindseymouth,Sabrinaview,192 km,1 hours
55,Jonesstad,Johnsonbury,111 km,1 hours
56,Karinamouth,Seanberg,132 km,4 hours
57,West Douglas,East Max,131 km,1 hours
58,North Amy,New John,72 km,1 hours
59,Suzanneberg,New Marktown,157 km,3 hours
60,Bonnieside,North Jack,139 km,3 hours
61,New Kathy,South Angelaport,83 km,3 hours
62,Kristenchester,Ashleybury,173 km,2 hours
63,East Jamesville,Suttonbury,191 km,2 hours
64,East Emily,Raytown,86 km,2 hours
65,Kruegerfurt,Meyerhaven,139 km,2 hours
66,Port Shannon,Jimmystad,163 km,2 hours
67,Port Rhondaside,Deanland,127 km,2 hours
68,Port Karenmouth,Bauerside,153 km,4 hours
69,Kellyborough,North Christopherhaven,70 km,2 hours
70,Nelsonland,West Thomas,99 km,3 hours
71,West Jenniferfort,Kellymouth,124 km,3 hours
72,North Aaronbury,North Lisa,76 km,3 hours
73,South David,Michellefort,119 km,3 hours
74,West Kelly,Matthewshaven,158 km,4 hours
75,Malloryview,West Christopherland,100 km,4 hours
76,East Jamesville,Pruittberg,104 km,2 hours
77,Dorothymouth,South Brianna,68 km,3 hours
78,Lake Donna,West Sean,200 km,3 hours
79,Andrewsport,West Alejandrahaven,105 km,3 hours
80,Port Robert,Ibarraborough,156 km,3 hours
81,New Nancyhaven,West Robertside,192 km,4 hours
82,Port Jennifer,Careyberg,180 km,3 hours
83,Ernestberg,Taylorfort,157 km,2 hours
84,West Kenneth,South William,191 km,2 hours
85,Port Ronnie,Ibarraborough,139 km,3 hours
86,Port Jameshaven,Port Katherineville,103 km,1 hours
87,Port Julie,Padillachester,68 km,4 hours
88,West Veronicaville,Morrisonview,121 km,3 hours
89,Lake Holly,Taylorfort,179 km,4 hours
90,Priceside,Lake Daisyton,186 km,3 hours
91,New Walter,Cindyview,179 km,4 hours
92,Tylerfort,Bakerport,171 km,2 hours
93,Hardintown,South Erinfurt,167 km,1 hours
94,Coltonshire,Perezchester,152 km,2 hours
95,East Kristintown,East Joseville,178 km,4 hours
96,Lake Daisyton,Triciaborough,82 km,3 hours
97,East Moniqueport,West Jessicaview,104 km,3 hours
98,Mackberg,East Susan,188 km,4 hours
99,New Juanchester,West Zachary,96 km,3 hours
100,Lake Randyside,Wrightmouth,111 km,1 hours
101,Taylorshire,Smithtown,198 km,4 hours
102,North Aaronhaven,West Stephenburgh,98 km,2 hours
103,New Amber,Millsside,125 km,4 hours
104,Gallegosville,Pruittberg,184 km,1 hours
105,Isabelville,North Jessica,176 km,3 hours
106,Alexandraton,Taylorstad,114 km,3 hours
107,North Darren,Brianton,136 km,3 hours
108,Lewisview,Andersonchester,124 km,1 hours
109,South Teresa,Bruceport,57 km,3 hours
110,Lake Holly,Holtport,192 km,3 hours
111,Jessicabury,Jasonview,120 km,3 hours
112,South Scottbury,Nancyberg,132 km,1 hours
113,North Dianeshire,Brownhaven,187 km,3 hours
114,West Dorothy,South Dianechester,134 km,2 hours
115,New Raymondborough,East Rita,168 km,3 hours
116,Williamsborough,West Alyssa,158 km,2 hours
117,Richardsonfort,Brucefort,90 km,1 hours
118,West Karaberg,Thomasland,93 km,3 hours
119,North Henryview,South Lauraland,57 km,2 hours
120,West Kevinhaven,Lake Erinland,112 km,3 hours
121,South Ashley,Rachelberg,200 km,2 hours
122,Lake Kellie,Davistown,128 km,2 hours
123,Morrisonview,West Brianchester,113 km,4 hours
124,Fowlerbury,Michaeltown,117 km,4 hours
125,West Matthewfort,Santiagobury,121 km,3 hours
126,New Felicia,South Ryanfurt,159 km,1 hours
127,Port Sydney,Lake Kaylafort,51 km,2 hours
128,Port James,Danieltown,180 km,3 hours
129,Hollyberg,West Kevin,193 km,4 hours
130,Lake Christopher,East Thomasberg,139 km,1 hours
131,Lewisview,Lake Kellie,93 km,4 hours
132,West Jessicaview,New Cassandra,122 km,1 hours
133,Lake Laura,West Charleston,127 km,1 hours
134,South Mark,Port John,193 km,2 hours
135,North Melissa,West Zachary,60 km,2 hours
136,Ibarraborough,West Christopherland,87 km,2 hours
137,Russellberg,North Bradleyshire,110 km,1 hours
138,Debraland,Nancyshire,74 km,1 hours
139,New Daniel,Ashleyfurt,108 km,1 hours
140,Rossburgh,West Louis,107 km,3 hours
141,Baileyland,New Nicole,142 km,3 hours
142,East Jamesville,Butlerborough,122 km,4 hours
143,Lake Maryshire,Johnshire,61 km,4 hours
144,Rebeccamouth,North Jamie,105 km,2 hours
